classes,conf,x1,y1,x2,y2,fps
car,0.86911154,900.0,599.0,1120.0,763.0,1
car,0.69536805,941.0,924.0,1241.0,1075.0,1
car,0.47149658,1505.0,245.0,1565.0,283.0,1
car,0.4195423,1619.0,167.0,1657.0,199.0,1
car,0.40387273,1413.0,237.0,1465.0,273.0,1
car,0.8834915,911.0,591.0,1130.0,755.0,2
car,0.7512121,959.0,907.0,1243.0,1077.0,2
car,0.5036044,1505.0,246.0,1567.0,282.0,2
car,0.40463734,1619.0,167.0,1657.0,200.0,2
car,0.78828144,920.0,579.0,1141.0,738.0,3
car,0.7016659,969.0,888.0,1259.0,1071.0,3
car,0.5095358,1509.0,244.0,1566.0,281.0,3
car,0.7604778,987.0,870.0,1272.0,1072.0,4
car,0.6704583,928.0,574.0,1144.0,731.0,4
car,0.5317404,1508.0,243.0,1567.0,281.0,4
car,0.45612526,1415.0,230.0,1468.0,273.0,4
car,0.8429575,1009.0,855.0,1292.0,1067.0,5
car,0.76186657,951.0,562.0,1155.0,721.0,5
car,0.50309825,1101.0,214.0,1174.0,280.0,5
car,0.4981346,1508.0,245.0,1567.0,282.0,5
car,0.441144,1417.0,229.0,1473.0,271.0,5
car,0.42060614,1619.0,167.0,1657.0,199.0,5
car,0.84376717,1020.0,836.0,1308.0,1048.0,6
car,0.82926464,968.0,548.0,1165.0,707.0,6
car,0.60158014,1093.0,217.0,1169.0,281.0,6
car,0.5390277,1512.0,242.0,1569.0,282.0,6
car,0.44500542,1417.0,228.0,1471.0,268.0,6
car,0.85294724,978.0,547.0,1176.0,698.0,7
car,0.7822504,1042.0,824.0,1311.0,1013.0,7
car,0.56929207,1089.0,216.0,1167.0,280.0,7
car,0.45688248,1512.0,239.0,1572.0,278.0,7
car,0.4478073,1421.0,226.0,1474.0,268.0,7
car,0.87197113,990.0,539.0,1185.0,690.0,8
car,0.84327126,1056.0,810.0,1326.0,999.0,8
car,0.55273795,1085.0,219.0,1165.0,282.0,8
car,0.5265844,1423.0,226.0,1475.0,264.0,8
car,0.8589833,1069.0,790.0,1331.0,981.0,9
car,0.84387016,1002.0,534.0,1193.0,680.0,9
car,0.6258087,1084.0,217.0,1160.0,283.0,9
car,0.42641163,1422.0,229.0,1479.0,268.0,9
car,0.8658922,1013.0,532.0,1201.0,670.0,10
car,0.84980917,1082.0,775.0,1333.0,964.0,10
car,0.6817744,1081.0,215.0,1159.0,284.0,10
car,0.5096495,1426.0,223.0,1477.0,263.0,10
car,0.4665861,1621.0,163.0,1658.0,194.0,10
car,0.85207367,1093.0,764.0,1346.0,949.0,11
car,0.8399284,1023.0,527.0,1209.0,661.0,11
car,0.6203413,1078.0,218.0,1153.0,284.0,11
car,0.45740318,1621.0,163.0,1658.0,195.0,11
car,0.41362762,1428.0,223.0,1479.0,262.0,11
car,0.86722183,1101.0,753.0,1353.0,936.0,12
car,0.8537829,1031.0,513.0,1217.0,653.0,12
car,0.4567008,1621.0,162.0,1658.0,195.0,12
car,0.4444971,1517.0,236.0,1573.0,273.0,12
car,0.40085077,1428.0,225.0,1478.0,262.0,12
car,0.8550739,1044.0,507.0,1224.0,644.0,13
car,0.83762026,1118.0,741.0,1357.0,921.0,13
car,0.49705744,1622.0,163.0,1658.0,195.0,13
car,0.49314117,1073.0,220.0,1144.0,286.0,13
car,0.4624672,1429.0,227.0,1479.0,262.0,13
car,0.43019104,1517.0,236.0,1573.0,274.0,13
car,0.8449857,1132.0,730.0,1369.0,900.0,14
car,0.82514095,1051.0,501.0,1232.0,638.0,14
car,0.49102592,1622.0,163.0,1657.0,195.0,14
car,0.4606316,1069.0,220.0,1143.0,287.0,14
car,0.43193245,1429.0,226.0,1482.0,261.0,14
car,0.8694792,1144.0,719.0,1379.0,882.0,15
car,0.8530693,1061.0,499.0,1235.0,630.0,15
